cluster,config,epoch,freq_Hz,flagged_frac,retained_frac,exposure_s,ms_path
2A0335+096,D,1,9319000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,9447000000.0,0.0002488771588646571,0.9997511228411353,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,9575000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,9703000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,9831000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,9959000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10039000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10167000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10295000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10423000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10551000000.0,0.0,1.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10679000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10807000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,10935000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11063000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11191000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11319000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11447000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11575000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11703000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11831000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
2A0335+096,D,1,11959000000.0,1.0,0.0,2285.8,../../../Image-Processing/2A0335+096/full_image/dconfig1-p8.ms
